ID,MV_T1,MV_T2,MV_ T3,MV_T4,MV_T5,MV_T6,MV_T7,MV_T8,MV _T9,MV _T10,MV_T11,MV_T12,MV_T13,MV_T14,MV_T15,MV_T16,MV_T17,MV_T18,PED_T1,PED_T2,PED_T3,PED_T4,PED_T5,PED_T6,PED_T7,PED_T8,PED_T9,PED_T10,PED_T11,PED_T12,PED_T13,PED_T14,PED_T15,PED_T16,PED_T17,PED_T18,CYC_T1,CYC_T2,CYC_T3,CYC_T4,CYC_T5,CYC_T6,CYC_T7,CYC_T8,CYC_T9,CYC_T10,CYC_T11,CYC_T12,CYC_T13,CYC_T14,CYC_T15,CYC_T16,CYC_T17,CYC_T18,cycexp,G2_year,YOB,famfriends,cycling_test,walk_test,downtown_test,downtown_tor
2001,1,1,1,2.333333333,1,2,1,1,1,1,2,1,1,1,1,1.333333333,1,3,1,1.333333333,1,2,1,1.666666667,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Every day or almost every day,1992,1972,No,Every day or almost every day,A few days a week,A few days a week,A few days a week
2002,3,3,2,1,1,1.666666667,1,1.333333333,1,2,1.666666667,1.666666667,1.333333333,1,2,1.666666667,1,2.333333333,3,3,1,1,1,1,1,1.333333333,1,1,3,2.333333333,2,2.333333333,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A few times or less,1987,1970,No,Never,A few times a year or less,A few times a year or less,A few times a year or less
2004,1,1.333333333,2,1,1.333333333,1,2,1.666666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A few days a week,1992,1974,Yes,A few days a month,A few times a year or less,A few days a month,A few days a month
2006,1,2,1,1.333333333,1,1,1.666666667,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A few times or less,1992,1976,Yes,Never,A few days a week,A few days a week,A few days a week
2007,1,1.666666667,1,1,1,1,1,2.666666667,1,1,1,2,1,1,1.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month
2008,1,1.333333333,1,2.333333333,1,1,1,1.666666667,1,1,2,1,1.666666667,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week
2009,2.333333333,2.333333333,1,2.333333333,1,1,2.666666667,2,1.666666667,1,2,2,3,1,1,1,1,3,1,2.333333333,1,2.666666667,1,2,1,1,1.333333333,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month
2010,1,1,1,1.333333333,2.333333333,1,2,NA,NA,1,2,1,1,1,2.666666667,1,1,2.333333333,1,2,1,2,1,1.666666667,1,NA,NA,1,2.666666667,1,1.666666667,1,2.333333333,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,A few days a week,1996,1978,Yes,A few days a week,A few days a month,A few days a month,A few days a week
2011,1.666666667,1,2,1,1,1,1,2.333333333,1,2,1,1,1,1,2,1,1,2,1,1,1,1.666666667,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Never,1997,1974,No,Never,A few times a year or less,A few times a year or less,A few times a year or less
2012,1,2,1,1,1,1,2.333333333,1.333333333,1,1,1,1,1.666666667,1,1,1,1,2,1.666666667,3,1,1.333333333,1.666666667,1.666666667,1,1,1,1,1,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Every day or almost every day,1995,1979,No,A few days a month,A few times a year or less,A few days a month,A few days a week
2013,1,2,1.666666667,3,3,1.333333333,3,2,1,1.666666667,2,2,1,1,1,2.333333333,1,2,1,1.333333333,1,2.666666667,1,2.333333333,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Never,2013,1981,No,Never,A few days a month,A few days a week,A few days a week
2014,2,1,2,2,1,1,2,1,1,1,1.333333333,1,1,NA,2.333333333,2,1,3,1,1,1,1,1,1,1,1,1,1,1.666666667,1,1.666666667,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,Never,1997,1978,No,Never,A few days a week,Every day or almost every day,Every day or almost every day
2015,2.333333333,2.333333333,1,2,1,2.333333333,2.333333333,1,1,2,3,1,2,1,2,3,1,1,2.666666667,2,1,1,1,1.666666667,1.333333333,1,2.333333333,1,2,1.333333333,3,1,1,1,1,1,1,1,1,1,1,1,1.333333333,1,1,1,1.666666667,1,1,1,1,1,1,1,Never,2009,1980,No,Never,A few times a year or less,A few days a month,A few days a week
2016,2,1,1,1,1,1,2,1.666666667,1,2.333333333,2.333333333,2,1,1,1.666666667,1.333333333,1,3,1,1.666666667,1,1.666666667,1,1,1,1,1,1,2,1,1,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A few days a month,1989,1972,No,Never,A few times a year or less,A few times a year or less,A few days a month
2017,1,1,1,1,1,1,1.333333333,1,1,1,2,1,1,1,1,1.333333333,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A few times or less,1996,1976,No,A few times a year or less,A few days a week,Every day or almost every day,Every day or almost every day
2018,1,1.666666667,1,2.333333333,1,1.666666667,1,1.666666667,1,1,2,1.666666667,1,1,1.666666667,1.666666667,1.333333333,2.333333333,1.333333333,3,1,2.333333333,1.333333333,2.333333333,1.333333333,1,1.666666667,1,2.333333333,1.333333333,1,2,2.333333333,1.333333333,1,1.666666667,1,1,1,1.666666667,1,1,1,1,1,1,1,1,1,1.666666667,1,1,1,1,A few days a month,1998,1981,No,A few times a year or less,A few times a year or less,A few days a month,Every day or almost every day
2019,2,2,1,2,2,1,1,1.333333333,1,1,2.333333333,2,2.666666667,NA,1.666666667,1.666666667,1,2.333333333,2,2,1,3,1,1.333333333,1,1.666666667,1,1,1.333333333,1,2,NA,1.333333333,1,1,1,1,1,1,1.333333333,1,1,1,1,1,1,1,1,1.333333333,NA,1,1,1,1,Never,1999,1978,No,Never,A few times a year or less,A few times a year or less,A few days a month
2020,1,1.666666667,1,1,1,1,1,1,1,1,2,1,2,1,1,1.333333333,1,2,1,2.333333333,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.666666667,1,1,1,1,1,Never,1989,1974,No,Never,A few days a month,A few days a month,A few days a week
2021,2,1.333333333,2,1,1.666666667,1,1,1.666666667,1,1,1,1,1,1,1,1,1.333333333,1,1,2,1,1,1,1,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Never,1998,1967,No,Never,Never,A few times a year or less,A few days a month
2022,1,2,1,2.333333333,1,1,1,1,1,1,2.333333333,1,1,1,2,2.333333333,1,3,1,1,1,2,1,1,1,1.333333333,1,1,2.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Never,2000,1981,No,Never,A few times a year or less,A few days a week,A few days a week
2023,1,2,1,1,1,1,1,1.333333333,1,1.333333333,1,1,2,1,NA,NA,NA,NA,1,1,1,1,1,2.333333333,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1.333333333,1,1,1,1,1,1,NA,NA,NA,NA,Never,1994,1976,No,Never,A few days a week,A few days a week,A few days a week
2024,1.333333333,3,1,2,1,1,1.666666667,1,1,1,1,1.333333333,1.333333333,1.666666667,1,2,1,1,1,2,1,2,1,2,1.333333333,1,1,1,1,1,2,1.666666667,1.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A few days a month,2002,1978,No,Never,Never,A few days a month,A few days a month
2025,3,3,1,1,1,1,1,1.666666667,1,1,1,1.333333333,1,1,2.333333333,1,1,1,2,2,1,2,1,1,1,1,1.666666667,1,1,1,1,1.333333333,1,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A few days a month,1991,1973,Yes,A few days a month,A few days a month,A few days a week,Every day or almost every day
2026,1.666666667,1,1,1,2.666666667,1,1,1.666666667,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.333333333,1,1,A few days a month,2006,1981,Yes,A few times a year or less,A few times a year or less,A few days a week,Every day or almost every day
2027,1,2,1,2,1,1,1,1,1,2,1.333333333,1.666666667,1.666666667,1,1.333333333,1,1,2,1,2,1,2.333333333,1,2.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.333333333,1,1,1,1,1,Never,1995,1979,No,Never,A few times a year or less,A few days a week,A few days a week
2028,2,2.666666667,1,2,2.333333333,1,1.333333333,2.333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.333333333,1.666666667,2.333333333,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.666666667,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never,1998,1966,No,Never,A few days a week,A few days a month,A few days a month